date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
11/16/2023,Estonia,Austria,0,2,UEFA Euro qualification,Tallinn,Estonia,FALSE
11/16/2023,Bulgaria,Hungary,2,2,UEFA Euro qualification,Sofia,Bulgaria,FALSE
11/16/2023,Liechtenstein,Portugal,0,2,UEFA Euro qualification,Vaduz,Liechtenstein,FALSE
11/16/2023,Luxembourg,Bosnia and Herzegovina,4,1,UEFA Euro qualification,Luxembourg,Luxembourg,FALSE
11/16/2023,Slovakia,Iceland,4,2,UEFA Euro qualification,Bratislava,Slovakia,FALSE
11/17/2023,Greece,New Zealand,2,0,Friendly,Athens,Greece,FALSE
11/17/2023,England,Malta,2,0,UEFA Euro qualification,London,England,FALSE
11/17/2023,Italy,North Macedonia,5,2,UEFA Euro qualification,Rome,Italy,FALSE
11/17/2023,Denmark,Slovenia,2,1,UEFA Euro qualification,Copenhagen,Denmark,FALSE
11/17/2023,Kazakhstan,San Marino,3,1,UEFA Euro qualification,Astana,Kazakhstan,FALSE
11/18/2023,Germany,Turkey,2,3,Friendly,Berlin,Germany,FALSE
11/18/2023,France,Gibraltar,14,0,UEFA Euro qualification,Nice,France,FALSE
11/18/2023,Netherlands,Republic of Ireland,1,0,UEFA Euro qualification,Amsterdam,Netherlands,FALSE
11/18/2023,Armenia,Wales,1,1,UEFA Euro qualification,Yerevan,Armenia,FALSE
11/18/2023,Latvia,Croatia,0,2,UEFA Euro qualification,Riga,Latvia,FALSE
11/18/2023,Switzerland,Kosovo,1,1,UEFA Euro qualification,Basel,Switzerland,FALSE
11/18/2023,Israel,Romania,1,2,UEFA Euro qualification,Felcsút,Hungary,TRUE
11/19/2023,Scotland,Norway,3,3,UEFA Euro qualification,Glasgow,Scotland,FALSE
11/19/2023,Spain,Georgia,3,1,UEFA Euro qualification,Valladolid,Spain,FALSE
11/19/2023,Sweden,Estonia,2,0,UEFA Euro qualification,Stockholm,Sweden,FALSE
11/19/2023,Hungary,Montenegro,3,1,UEFA Euro qualification,Budapest,Hungary,FALSE
11/19/2023,Serbia,Bulgaria,2,2,UEFA Euro qualification,Leskovac,Serbia,FALSE
11/19/2023,Portugal,Iceland,2,0,UEFA Euro qualification,Lisbon,Portugal,FALSE
11/19/2023,Bosnia and Herzegovina,Slovakia,1,2,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,FALSE
11/19/2023,Liechtenstein,Luxembourg,0,1,UEFA Euro qualification,Vaduz,Liechtenstein,FALSE
11/20/2023,North Macedonia,England,1,1,UEFA Euro qualification,Skopje,North Macedonia,FALSE
11/20/2023,Ukraine,Italy,0,0,UEFA Euro qualification,Leverkusen,Germany,TRUE
11/20/2023,Northern Ireland,Denmark,2,0,UEFA Euro qualification,Belfast,Northern Ireland,FALSE
11/20/2023,Slovenia,Kazakhstan,2,1,UEFA Euro qualification,Ljubljana,Slovenia,FALSE
11/21/2023,Austria,Germany,2,0,Friendly,Vienna,Austria,FALSE
11/21/2023,Gibraltar,Netherlands,0,6,UEFA Euro qualification,Faro-Loulé,Portugal,TRUE
11/21/2023,Greece,France,2,2,UEFA Euro qualification,Athens,Greece,FALSE
11/21/2023,Wales,Turkey,1,1,UEFA Euro qualification,Cardiff,Wales,FALSE
11/21/2023,Croatia,Armenia,1,0,UEFA Euro qualification,Zagreb,Croatia,FALSE
11/21/2023,Andorra,Israel,0,2,UEFA Euro qualification,Andorra la Vella,Andorra,FALSE
11/21/2023,Romania,Switzerland,1,0,UEFA Euro qualification,Bucharest,Romania,FALSE
1/12/2024,Sweden,Estonia,2,1,Friendly,Paphos,Cyprus,TRUE
1/13/2024,Guatemala,Iceland,0,1,Friendly,Fort Lauderdale,United States,TRUE
1/17/2024,Honduras,Iceland,0,2,Friendly,Fort Lauderdale,United States,TRUE
