date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
11/16/2021,Montenegro,Turkey,1,2,FIFA World Cup qualification,Podgorica,Montenegro,FALSE
11/16/2021,Netherlands,Norway,2,0,FIFA World Cup qualification,Rotterdam,Netherlands,FALSE
12/18/2021,United States,Bosnia and Herzegovina,1,0,Friendly,Los Angeles,United States,FALSE
1/12/2022,Iceland,Uganda,1,1,Friendly,Belek,Turkey,TRUE
1/15/2022,South Korea,Iceland,5,1,Friendly,Antalya,Turkey,TRUE
3/24/2022,Italy,North Macedonia,0,1,FIFA World Cup qualification,Palermo,Italy,FALSE
3/24/2022,Portugal,Turkey,3,1,FIFA World Cup qualification,Porto,Portugal,FALSE
3/24/2022,Wales,Austria,2,1,FIFA World Cup qualification,Cardiff,Wales,FALSE
3/24/2022,Hungary,Serbia,0,1,Friendly,Budapest,Hungary,FALSE
3/24/2022,Scotland,Poland,1,1,Friendly,Glasgow,Scotland,FALSE
3/24/2022,Estonia,Cyprus,0,0,UEFA Nations League,Tallinn,Estonia,FALSE
3/24/2022,Moldova,Kazakhstan,1,2,UEFA Nations League,Chișinău,Moldova,FALSE
3/25/2022,Bosnia and Herzegovina,Georgia,0,1,Friendly,Zenica,Bosnia and Herzegovina,FALSE
3/25/2022,France,Ivory Coast,2,1,Friendly,Marseille,France,FALSE
3/25/2022,Luxembourg,Northern Ireland,1,3,Friendly,Luxembourg,Luxembourg,FALSE
3/25/2022,Romania,Greece,0,1,Friendly,Bucharest,Romania,FALSE
3/26/2022,Croatia,Slovenia,1,1,Friendly,Al Rayyan,Qatar,TRUE
3/26/2022,England,Switzerland,2,1,Friendly,London,England,FALSE
3/26/2022,Finland,Iceland,1,1,Friendly,Murcia,Spain,TRUE
3/26/2022,Germany,Israel,2,0,Friendly,Sinsheim,Germany,FALSE
3/26/2022,Netherlands,Denmark,4,2,Friendly,Amsterdam,Netherlands,FALSE
3/26/2022,Spain,Albania,2,1,Friendly,Barcelona,Spain,FALSE
3/28/2022,Montenegro,Greece,1,0,Friendly,Podgorica,Montenegro,FALSE
3/29/2022,Portugal,North Macedonia,2,0,FIFA World Cup qualification,Porto,Portugal,FALSE
3/29/2022,Albania,Georgia,0,0,Friendly,Tirana,Albania,FALSE
3/29/2022,Austria,Scotland,2,2,Friendly,Vienna,Austria,FALSE
3/29/2022,Bosnia and Herzegovina,Luxembourg,1,0,Friendly,Zenica,Bosnia and Herzegovina,FALSE
3/29/2022,Croatia,Bulgaria,2,1,Friendly,Al Rayyan,Qatar,TRUE
3/29/2022,Denmark,Serbia,3,0,Friendly,Copenhagen,Denmark,FALSE
3/29/2022,England,Ivory Coast,3,0,Friendly,London,England,FALSE
3/29/2022,France,South Africa,5,0,Friendly,Villeneuve D'Ascq,Algeria,TRUE
3/29/2022,Israel,Romania,2,2,Friendly,Netanya,Israel,FALSE
3/29/2022,Netherlands,Germany,1,1,Friendly,Amsterdam,Netherlands,FALSE
3/29/2022,Northern Ireland,Hungary,0,1,Friendly,Belfast,Northern Ireland,FALSE
3/29/2022,Spain,Iceland,5,0,Friendly,La Coruña,Spain,FALSE
3/29/2022,Switzerland,Kosovo,1,1,Friendly,Zürich,Switzerland,FALSE
3/29/2022,Turkey,Italy,2,3,Friendly,Konya,Turkey,FALSE
3/29/2022,Wales,Czech Republic,1,1,Friendly,Cardiff,Wales,FALSE
3/29/2022,Cyprus,Estonia,2,0,UEFA Nations League,Larnaca,Cyprus,FALSE
3/29/2022,Kazakhstan,Moldova,0,1,UEFA Nations League,Nur-Sultan,Kazakhstan,FALSE
6/1/2022,Italy,Argentina,0,3,CONMEBOL–UEFA Cup of Champions,Paris,France,TRUE
6/1/2022,Scotland,Ukraine,1,3,FIFA World Cup qualification,Glasgow,Scotland,FALSE
6/1/2022,Poland,Wales,2,1,UEFA Nations League,Wrocław,Poland,FALSE
6/2/2022,Czech Republic,Switzerland,2,1,UEFA Nations League,Prague,Czech Republic,FALSE
6/2/2022,Spain,Portugal,1,1,UEFA Nations League,Sevilla,Spain,FALSE
6/2/2022,Israel,Iceland,2,2,UEFA Nations League,Haifa,Israel,FALSE
6/2/2022,Serbia,Norway,0,1,UEFA Nations League,Belgrade,Serbia,FALSE
6/2/2022,Northern Ireland,Greece,0,1,UEFA Nations League,Belfast,Northern Ireland,FALSE
6/2/2022,Georgia,Gibraltar,4,0,UEFA Nations League,Tbilisi,Georgia,FALSE
6/2/2022,Estonia,San Marino,2,0,UEFA Nations League,Tallinn,Estonia,FALSE
